AirlineID;ConnectionID;FlightDate;Price;CurrencyCode_code;PlaneType;MaximumSeats;OccupiedSeats
SW;0001;2024-05-29;10818.00;SGD;767-200;260;223
SW;0001;2023-08-02;5950.00;SGD;A340-600;330;168
SW;0002;2024-05-30;11765.00;SGD;747-400;385;350
SW;0002;2023-08-03;10953.00;SGD;747-400;385;334
SW;0011;2024-05-30;2359.00;SGD;767-200;260;132
SW;0011;2023-08-03;4880.00;SGD;A340-600;330;310
SW;0012;2024-06-01;4665.00;SGD;767-200;260;236
SW;0012;2023-08-05;2574.00;SGD;747-400;385;215
SW;0058;2024-05-27;6629.00;USD;767-200;260;200
SW;0058;2023-07-31;4996.00;USD;747-400;385;231
SW;0059;2024-05-28;4131.00;USD;A340-600;330;161
SW;0059;2023-08-01;6053.00;USD;A340-600;330;237
SW;1537;2024-05-31;893.00;USD;A321-200;150;88
SW;1537;2023-08-04;805.00;USD;737-800;140;75
GA;0322;2024-06-02;1103.00;USD;A320-200;130;93
GA;0322;2023-08-05;1611.00;USD;A320-200;130;123
GA;0017;2024-05-29;462.00;USD;A321-200;150;139
GA;0017;2023-08-02;478.00;USD;737-800;140;133
GA;2678;2024-06-01;473.00;USD;A321-200;150;141
GA;2678;2023-08-05;473.00;USD;A320-200;130;122
GA;0015;2024-05-31;1911.00;USD;767-200;260;137
GA;0015;2023-08-04;3117.00;USD;767-200;260;213
GA;0018;2024-05-30;3781.00;USD;A380-800;475;446
GA;0018;2023-08-03;3823.00;USD;767-200;260;247
EA;0400;2024-06-01;5484.00;EUR;A340-600;330;306
EA;0400;2023-08-05;2649.00;EUR;767-200;260;130
EA;0401;2024-05-31;3697.00;EUR;747-400;385;265
EA;0401;2023-08-04;4867.00;EUR;A380-800;475;403
EA;0402;2024-05-27;4911.00;EUR;767-200;260;221
EA;0402;2023-07-31;3232.00;EUR;747-400;385;231
EA;0403;2024-05-27;2797.00;EUR;A340-600;330;171
EA;0403;2023-07-31;2486.00;EUR;767-200;260;117
OC;0407;2024-05-31;5346.00;JPY;747-400;385;254
OC;0407;2023-08-04;4032.00;JPY;A340-600;330;165
OC;0408;2024-06-01;8159.00;JPY;A380-800;475;432
OC;0408;2023-08-05;6471.00;JPY;747-400;385;296
FA;0788;2024-06-01;7580.00;EUR;767-200;260;221
FA;0788;2023-08-05;8059.00;EUR;A380-800;475;422
FA;0789;2024-05-31;8539.00;EUR;A380-800;475;441
FA;0789;2023-08-04;5852.00;EUR;A380-800;475;325
